taxa	clade
A_chicken_Egypt_Q4698A_2012	G1-A
A_chicken_Egypt_114915V_2011	G1-A
A_chicken_Egypt_11vir4453-275_2011	G1-A
A_chicken_Egypt_11vir4453-280_2011	G1-A
A_chicken_Egypt_A2-D_2011	G1-A
A_chicken_Egypt_11vir4453-274_2011	G1-A
A_chicken_Egypt_1226B_2012	G1-A
A_chicken_Egypt_BSU-FA-K6_2012	G1-A
A_chicken_Egypt_12186F-9_2012	G1-A
A_chicken_Egypt_NLQP488V-AR761_2013	G1-A
A_chicken_Egypt_12128VD_2012	G1-A
A_chicken_FVM_1_2011	G1-A
A_chicken_Egypt_SCU8_2014	G1-A
A_chicken_Egypt_114922v_2011	G1-A
A_chicken_Egypt_S7404_2013	G1-A
A_chicken_Egypt_1225VL_2012	G1-A
A_chicken_Egypt_F7297B_2013	G1-A
A_chicken_Egypt_S4454E_2011	G1-A
A_chicken_Egypt_S4454B_2011	G1-A
A_chicken_Egypt_S4456B_2011	G1-A
A_chicken_Egypt_13139V_2013	G1-A
A_chicken_Egypt_NLQP426V-AR760_2013	G1-A
A_chicken_Egypt_AR253-15_2011	G1-A
A_chicken_Egypt_114940v_2011	G1-A
A_chicken_Egypt_SCU9_2014	G1-A
A_chicken_Egypt_16194V_2016	G1-A
A_chicken_Egypt_111959VG_2011	G1-A
A_quail_Egypt_113413v_2011	G1-A
A_chicken_Egypt_11vir4453-132_VRLCU_2011	G1-A
A_chicken_Egypt_NLQP257V-AR757_2013	G1-A
A_chicken_Egypt_115636V_2011	G1-A
A_quail_Egypt_D10093_2014	G1-A
A_quail_Egypt_D10105_2014	G1-A
A_chicken_Egypt_1560VG_2015	G1-A
A_chicken_Egypt_1339V_2013	G1-A
A_chicken_Israel_68_2014	G1-A
A_chicken_Israel_258_2014	G1-A
A_chicken_Israel_254_2014	G1-A
A_chicken_Israel_14_2014	G1-A
A_chicken_Israel_46_2014	G1-A
A_chicken_Israel_246_2014	G1-A
A_chicken_Israel_1_2014	G1-A
A_chicken_Israel_82_2014	G1-A
A_chicken_Israel_628_2013	G1-A
A_chicken_Israel_802_2013	G1-A
A_chicken_Israel_625_2013	G1-A
A_turkey_Israel_643_2013	G1-A
A_chicken_Israel_635_2013	G1-A
A_chicken_Israel_510_2013	G1-A
A_turkey_Israel_311_2009	G1-A
A_turkey_Israel_1608_2006	G1-A
A_chicken_Israel_499_2013	G1-A
A_chicken_Israel_443_2013	G1-A
A_chicken_Israel_50_2012	G1-A
A_chicken_Israel_58_2012	G1-A
A_chicken_Israel_3_2012	G1-A
A_chicken_Israel_1067_2010	G1-A
A_chicken_Israel_623_2013	G1-A
A_chicken_Israel_465_2013	G1-A
A_chicken_Israel_239_2013	G1-A
A_turkey_Israel_69_2014	G1-A
A_chicken_Israel_74_2013	G1-A
A_chicken_Israel_1302_2010	G1-A
A_chicken_Chelyabinsk_30_2019	G1-A
A_chicken_Siberia_03_2018	G1-A
A_chicken_Israel_728_2007	G1-A
A_chicken_Israel_449_2007	G1-A
A_chicken_Israel_402_2007	G1-A
A_chicken_Israel_54_2008	G1-A
A_chicken_Israel_182_2008	G1-A
